Carlos;M;;;;;;;;
Carlos;D;;;;;;;;
Víctor;M;;;;;;;;
Víctor;D;;;;;;;;
Mamá;M;;;;;;;;
Mamá;D;;;;;;;;
Papá;M;;;;;;;;
Papá;D;;;;;;;;
